nll-oracle,nll-test,EmbeddingSimilarity,
1,10.802188,7.6060805,-0.2120800520185428,
6,10.160227,6.9588914,-0.2084811821056629,
11,9.983076,6.647968,-0.20921781448363336,
16,9.912695,6.5178146,-0.2121372349404175,
21,9.909582,6.4222827,-0.21003146985464327,
26,9.864094,6.3431134,-0.20721166005945066,
31,9.861099,6.283206,-0.2085836462426606,
36,9.860545,6.2363515,-0.2068737000661327,
41,9.877536,6.1978054,-0.2077977402327798,
46,9.861587,6.176484,-0.20835180015246682,
51,9.879236,6.1426907,-0.2076595311174702,
56,9.871823,6.1263585,-0.21008209278965886,
61,9.882174,6.103556,-0.208170804071303,
66,9.874475,6.0918603,-0.20823008515422545,
71,9.889515,6.0689282,-0.2021755366704994,
76,9.879715,6.0519443,-0.20797765502688445,
